product_id,product_name,category,price,supplier
1,Product_1,Sports,281.6420875,Supplier_C
2,Product_2,Electronics,118.4543524,Supplier_A
3,Product_3,Home,48.39783197,Supplier_C
4,Product_4,Clothing,156.0440926,Supplier_B
5,Product_5,Sports,91.89743896,Supplier_A
6,Product_6,Books,99.76441255,Supplier_C
7,Product_7,Home,106.0411902,Supplier_A
8,Product_8,Sports,244.8472514,Supplier_A
9,Product_9,Electronics,170.9651575,Supplier_B
10,Product_10,Electronics,107.1661558,Supplier_A
11,Product_11,Electronics,190.8934593,Supplier_C
12,Product_12,Electronics,220.5221888,Supplier_C
13,Product_13,Books,96.33472021,Supplier_C
14,Product_14,Home,135.7937484,Supplier_C
15,Product_15,Clothing,54.12810613,Supplier_B
16,Product_16,Books,70.72181787,Supplier_A
17,Product_17,Books,210.7129991,Supplier_B
18,Product_18,Clothing,70.80273735,Supplier_A
19,Product_19,Clothing,167.0457474,Supplier_A
20,Product_20,Electronics,218.5329533,Supplier_A
21,Product_21,Books,49.92553847,Supplier_B
22,Product_22,Sports,178.8474215,Supplier_A
23,Product_23,Clothing,91.83757944,Supplier_B
24,Product_24,Clothing,289.6195251,Supplier_C
25,Product_25,Home,155.3927811,Supplier_C
26,Product_26,Sports,245.6779139,Supplier_A
27,Product_27,Sports,174.0634318,Supplier_B
28,Product_28,Clothing,32.1555092,Supplier_C
29,Product_29,Electronics,197.2823852,Supplier_B
30,Product_30,Home,286.3929358,Supplier_B
31,Product_31,Sports,188.4513096,Supplier_A
32,Product_32,Clothing,249.3728806,Supplier_C
33,Product_33,Sports,267.5778097,Supplier_A
34,Product_34,Home,83.86233615,Supplier_A
35,Product_35,Home,79.37255517,Supplier_C
36,Product_36,Books,191.0746769,Supplier_C
37,Product_37,Clothing,135.0879715,Supplier_B
38,Product_38,Home,255.1611648,Supplier_C
39,Product_39,Books,272.0064746,Supplier_B
40,Product_40,Books,118.9579862,Supplier_B
41,Product_41,Sports,86.32375651,Supplier_B
42,Product_42,Sports,238.5471443,Supplier_C
43,Product_43,Books,96.94568995,Supplier_A
44,Product_44,Sports,250.3320092,Supplier_B
45,Product_45,Home,138.646711,Supplier_A
46,Product_46,Electronics,206.9139718,Supplier_A
47,Product_47,Home,46.74988787,Supplier_C
48,Product_48,Books,194.6806109,Supplier_A
49,Product_49,Books,146.49495,Supplier_A
50,Product_50,Home,184.2503697,Supplier_C
51,Product_49,Books,146.49495,Supplier_A
52,Product_24,Clothing,289.6195251,Supplier_C
53,Product_24,Clothing,289.6195251,Supplier_C
54,Product_24,Clothing,289.6195251,Supplier_C
55,Product_30,Home,286.3929358,Supplier_B
56,Product_30,Home,286.3929358,Supplier_B
57,Product_30,Home,286.3929358,Supplier_B
58,Product_1,Sports,281.6420875,Supplier_C
59,Product_1,Sports,281.6420875,Supplier_C
60,Product_1,Sports,281.6420875,Supplier_C
