date,store,category,product,quantity,unit_price,salesperson,total_sales
2023-04-13,Store_D,Sports,Chair,5,86.44913381679389,Charlie,432.24566908396946
2023-08-03,Store_C,Books,Chair,5,304.54635575417234,Charlie,1522.7317787708616
2023-05-30,Store_E,Clothing,Chair,6,10.38159526209702,Diana,62.28957157258212
2023-10-04,Store_A,Home,Soccer,6,13.462489557661529,Alice,80.77493734596918
2023-02-18,Store_C,Books,Soccer,3,197.40637572090975,Diana,592.2191271627293
2023-11-16,Store_A,Books,Novel,3,343.35069390801203,Alice,1030.052081724036
2023-06-16,Store_B,Home,Tennis,2,198.85408624455889,Bob,397.70817248911777
2023-02-22,Store_B,Home,Lamp,8,26.850375346457014,Alice,214.8030027716561
2023-02-19,Store_D,Clothing,Cookbook,6,277.888036878207,Eve,1667.328221269242
2023-07-10,Store_B,Clothing,Mouse,4,302.9709896174317,Diana,1211.8839584697268
2023-07-09,Store_E,Sports,Mouse,5,297.50807117528564,Alice,1487.5403558764283
2023-09-09,Store_D,Home,Tennis,1,17.661839303185026,Alice,17.661839303185026
2023-12-10,Store_A,Home,Chair,8,16.899113130391385,Charlie,135.19290504313108
2023-03-22,Store_C,Books,Laptop,5,463.887430471541,Bob,2319.437152357705
2023-02-10,Store_D,Electronics,Chair,2,56.750957080301546,Eve,113.50191416060309
2023-04-09,Store_D,Books,Shirt,1,197.63416862935702,Charlie,197.63416862935702
2023-09-14,Store_E,Clothing,Lamp,7,29.81245887383136,Bob,208.68721211681952
2023-02-11,Store_D,Sports,Shirt,7,242.93140935923475,Eve,1700.5198655146432
2023-04-06,Store_D,Sports,Lamp,7,211.08763228745858,Charlie,1477.61342601221
2023-01-29,Store_D,Sports,Lamp,3,88.99843075446216,Bob,266.9952922633865
2023-06-19,Store_E,Electronics,Novel,6,233.701939536626,Diana,1402.211637219756
2023-02-13,Store_D,Books,Soccer,7,449.08473696251167,Alice,3143.5931587375817
2023-10-10,Store_A,Home,Tennis,3,13.406543960283445,Charlie,40.219631880850336
2023-05-17,Store_E,Electronics,Shirt,8,472.0257549171344,Alice,3776.2060393370753
2023-06-29,Store_A,Electronics,Soccer,4,130.9692707909146,Bob,523.8770831636584
2023-04-23,Store_E,Electronics,Chair,1,140.72269699488965,Bob,140.72269699488965
2023-05-10,Store_D,Sports,Laptop,1,127.38532642681649,Bob,127.38532642681649
2023-02-22,Store_D,Clothing,Cookbook,7,339.3464182288805,Charlie,2375.4249276021637
2023-07-03,Store_C,Electronics,Cookbook,8,240.44731087855882,Bob,1923.5784870284706
2023-07-17,Store_C,Electronics,Tennis,6,350.9482753275321,Charlie,2105.6896519651928
2023-05-28,Store_D,Books,Jeans,3,358.46327089462875,Charlie,1075.3898126838862
2023-05-28,Store_D,Electronics,Laptop,8,199.50031968726333,Bob,1596.0025574981066
2023-12-26,Store_A,Books,Tennis,9,112.4450941614797,Bob,1012.0058474533173
2023-04-09,Store_D,Clothing,Tennis,4,269.52878339444317,Bob,1078.1151335777727
2023-10-31,Store_D,Sports,Novel,7,176.12459761386333,Charlie,1232.8721832970432
2023-05-27,Store_C,Home,Chair,6,392.1390174702357,Diana,2352.8341048214143
2023-03-16,Store_A,Home,Cookbook,8,307.15023923319904,Charlie,2457.2019138655924
2023-04-22,Store_A,Books,Tennis,2,88.79594519457434,Bob,177.5918903891487
2023-07-13,Store_C,Sports,Tennis,4,358.96781846029256,Alice,1435.8712738411703
2023-10-04,Store_D,Books,Laptop,1,275.84471297190066,Charlie,275.84471297190066
2023-01-22,Store_E,Books,Cookbook,8,319.2579267386588,Bob,2554.0634139092704
2023-10-04,Store_A,Home,Laptop,5,122.79078143836209,Charlie,613.9539071918105
2023-01-04,Store_C,Electronics,Laptop,5,442.91207091046687,Diana,2214.5603545523345
2023-08-21,Store_E,Sports,Laptop,5,290.4233098937108,Diana,1452.1165494685538
2023-04-26,Store_E,Sports,Lamp,1,165.29178252657604,Bob,165.29178252657604
2023-10-08,Store_B,Clothing,Shirt,8,44.50390411627651,Bob,356.03123293021207
2023-10-15,Store_B,Books,Soccer,2,168.04987447691425,Alice,336.0997489538285
2023-10-26,Store_E,Clothing,Lamp,3,135.54140236128444,Eve,406.6242070838533
2023-11-12,Store_B,Electronics,Jeans,4,328.48232608110493,Diana,1313.9293043244197
2023-05-23,Store_D,Clothing,Mouse,7,339.2928062946477,Charlie,2375.049644062534
2023-06-02,Store_B,Sports,Cookbook,6,132.6231666527734,Bob,795.7389999166403
2023-11-22,Store_C,Home,Novel,1,415.65581185591844,Diana,415.65581185591844
2023-04-18,Store_E,Home,Cookbook,4,211.56341347777249,Charlie,846.2536539110899
2023-11-07,Store_D,Sports,Mouse,3,399.6412354366648,Charlie,1198.9237063099943
2023-04-02,Store_B,Clothing,Novel,5,49.62775364242686,Alice,248.1387682121343
2023-05-09,Store_B,Clothing,Laptop,2,127.49580598712758,Alice,254.99161197425516
2023-08-25,Store_E,Electronics,Lamp,5,309.7431656548326,Charlie,1548.715828274163
2023-03-17,Store_B,Books,Novel,6,17.052809428580375,Diana,102.31685657148225
2023-03-10,Store_A,Home,Novel,5,242.0011676824772,Alice,1210.0058384123859
2023-09-11,Store_E,Clothing,Soccer,6,321.1958889251455,Bob,1927.175333550873
2023-06-29,Store_B,Clothing,Shirt,1,274.29494971603066,Eve,274.29494971603066
2023-01-04,Store_B,Electronics,Jeans,8,341.812487767661,Charlie,2734.499902141288
2023-02-02,Store_A,Sports,Shirt,5,316.7104383497707,Alice,1583.5521917488536
2023-06-17,Store_B,Books,Mouse,3,312.9444033255675,Alice,938.8332099767026
2023-03-31,Store_E,Clothing,Soccer,2,137.74031883559252,Diana,275.48063767118504
2023-11-10,Store_E,Clothing,Chair,4,214.7935555406336,Eve,859.1742221625344
2023-09-06,Store_D,Clothing,Novel,9,288.57493903747957,Charlie,2597.174451337316
2023-06-26,Store_C,Home,Mouse,1,390.4423507635785,Eve,390.4423507635785
2023-09-25,Store_A,Sports,Lamp,9,126.73571467794993,Alice,1140.6214321015493
2023-03-03,Store_D,Electronics,Cookbook,3,200.70882257973992,Diana,602.1264677392197
2023-08-21,Store_C,Home,Tennis,7,478.83243371196363,Diana,3351.827035983745
2023-12-05,Store_B,Sports,Novel,3,305.1960536915483,Diana,915.5881610746449
2023-02-22,Store_A,Sports,Novel,7,498.00630859486125,Bob,3486.0441601640287
2023-05-13,Store_C,Sports,Mouse,9,383.1402095415614,Diana,3448.2618858740525
2023-09-10,Store_E,Clothing,Tennis,2,447.02948530062054,Bob,894.0589706012411
2023-01-05,Store_E,Sports,Cookbook,3,294.83965444112334,Eve,884.51896332337
2023-11-17,Store_D,Electronics,Lamp,9,300.02548202242934,Diana,2700.2293382018643
2023-03-11,Store_D,Books,Cookbook,7,217.86878453101838,Bob,1525.0814917171288
2023-01-19,Store_C,Sports,Mouse,4,68.22077897135524,Eve,272.883115885421
2023-12-27,Store_A,Books,Tennis,1,50.61674762974357,Alice,50.61674762974357
2023-04-27,Store_B,Home,Novel,6,463.07523180956207,Diana,2778.4513908573726
2023-08-17,Store_D,Books,Shirt,4,46.96292807398694,Alice,187.85171229594775
2023-11-01,Store_A,Sports,Cookbook,6,198.25889737581775,Alice,1189.5533842549066
2023-01-12,Store_B,Home,Chair,5,145.91677966075503,Diana,729.5838983037752
2023-06-13,Store_B,Clothing,Mouse,5,487.4534557564216,Charlie,2437.267278782108
2023-05-25,Store_A,Electronics,Novel,4,305.36312219141627,Eve,1221.452488765665
2023-02-15,Store_C,Sports,Cookbook,2,214.15313829185482,Eve,428.30627658370963
2023-10-30,Store_A,Clothing,Soccer,8,439.56412810363844,Charlie,3516.5130248291075
2023-12-31,Store_E,Electronics,Cookbook,1,245.3813401145138,Alice,245.3813401145138
2023-09-24,Store_E,Clothing,Tennis,6,416.29046814619204,Alice,2497.742808877152
2023-04-08,Store_A,Books,Laptop,5,37.62399335895429,Diana,188.11996679477144
2023-07-16,Store_E,Books,Novel,7,386.80383343845017,Eve,2707.6268340691513
2023-07-21,Store_B,Books,Laptop,5,230.76662630194582,Alice,1153.8331315097291
2023-02-20,Store_E,Sports,Jeans,1,339.1333353588698,Bob,339.1333353588698
2023-12-14,Store_B,Clothing,Mouse,6,388.43601195046324,Charlie,2330.6160717027797
2023-11-02,Store_D,Electronics,Cookbook,5,53.320029449166825,Charlie,266.60014724583414
2023-11-09,Store_A,Sports,Novel,2,404.4718870844873,Diana,808.9437741689746
2023-08-14,Store_B,Clothing,Mouse,3,453.0377603019367,Diana,1359.1132809058101
2023-09-06,Store_A,Home,Lamp,3,351.84451703179707,Eve,1055.5335510953912
2023-05-18,Store_A,Clothing,Laptop,4,234.97652055674803,Bob,939.9060822269921
2023-09-19,Store_E,Clothing,Shirt,9,235.4583879019503,Charlie,2119.1254911175524
2023-01-08,Store_D,Home,Chair,9,449.4263208539458,Charlie,4044.8368876855125
2023-06-04,Store_E,Clothing,Soccer,3,30.025621970574644,Eve,90.07686591172393
2023-04-02,Store_B,Sports,Cookbook,5,278.8705015116302,Eve,1394.352507558151
